Year;Node;SDF;DeltaConsumption;Cost;CertainEquivalence;Consumption;Utility;SDF;DeltaConsumption;Cost;CertainEquivalence;Consumption;Utility
2015;0;1.0;-0.28613619569850535;0.063188160905472565;0.75149037429332477;0.93681155252169968;9.7526040846039823;1.0;-0.28589223671666719;0.063111474877869;0.75144914764472737;0.93688823852584491;9.757291586788968
2030;1;1.0836424053430989;0.002784281198553451;0.092608688659685107;0.73529272553721625;1.1331047459304566;11.863341795788545;1.0652394559530418;0.0027821463324917417;0.092536944065754315;0.73521734904861769;1.1331935906462576;11.873970525788463
2030;2;0.39465607727606444;0.0015502559561397788;0.045632311590987372;0.73367754440013588;1.1924653866706076;12.112618587712765;0.41173521957436093;0.0015503400580429982;0.044825429390886705;0.73371536241961721;1.1934731552653077;12.107508186207259
2060;3;0.89138756196879232;0.039219422932790238;0.11567695111223829;0.7034902321813522;1.704427435289547;17.66733188518732;0.89165477562925977;0.039163168677758264;0.11628856731944423;0.70343396175616157;1.7032300573891712;17.679248131420461
2060;4;0.27539103216303118;0.022537015313672804;0.071430151462586439;0.70152006068486661;1.8018018778806484;18.136549363270415;0.25732521729389141;0.022491575881788961;0.072659643727006964;0.70132886582500542;1.799405505664436;18.178895814979406
2060;5;0.27361327808883884;0.017331882784721309;0.073725966119132444;0.70216991672211904;1.7940615940673152;17.988356968536824;0.28862436804952496;0.017252245111532005;0.071746520400426936;0.7022551486764097;1.7978269971009497;17.970549585263701
2060;6;0.14830940420300284;0.010515234937136242;0.025291190655072425;0.70127453650071847;1.8960948860133142;18.221582807624568;0.15100930854043604;0.010483339440003903;0.022382420663849361;0.70129531762737685;1.9017116605950506;18.218593140131517
2100;7;0.57265589945752482;0.18384394215367195;0.070901260795074014;0.6634593154545535;3.1555457666997082;30.018902087116913;0.59267933339039269;0.18361570429821228;0.070742520574137602;0.66344695568876288;3.1563368592270931;30.0240148534536
2100;8;0.1585497445825125;0.11517118601229726;0.067590560527646268;0.66126198505760425;3.234096085294889;30.923503922504324;0.13841201721639051;0.11502101330540526;0.067100826379762404;0.66091895969594794;3.2359517190302718;31.064202648711415
2100;9;0.14932207339764286;0.10760432377061591;0.076876954334149344;0.66180123415930558;3.1843739384688923;30.689500026670508;0.15660725431020128;0.10808009664811102;0.07652357860941035;0.66177353029705799;3.1860563808259301;30.701212792571333
2100;10;0.086685467221595314;0.064666009737823771;0.057365668174263071;0.66102371309436325;3.2954382073848754;31.039300967487303;0.064493349920255086;0.064573920300547982;0.062304209148371252;0.66030113201826035;3.2784498257472721;31.331393335571928
2100;11;0.17184962412654059;0.080130452066073943;0.08546727117357443;0.6626629166900877;3.1277346035246776;30.326179840357455;0.175906915020727;0.078805281077709566;0.086386092689120147;0.66273491637782733;3.1233998740623985;30.296146116377926
2100;12;0.06440602383877693;0.050463691817581591;0.036116661208474565;0.66122635621551451;3.3528555539530052;30.973468971761118;0.073260007964046289;0.050020820768148511;0.03042428274091203;0.66153741521567189;3.3718998474837281;30.852308639213657
2100;13;0.10050416541175412;0.03851940994823444;0.022328513125417501;0.66311453168603152;3.3885933389509137;30.223339454913649;0.10289957603442031;0.037105997770670029;0.022613625888429512;0.66319500011611843;3.3863697585842814;30.190766413884482
2100;14;0.025970333323387374;0.023703722649859316;0.0061422683342679668;0.66070954033268914;3.4833264617112469;31.222943591725219;0.026346340585016774;0.02291920175481188;0.0047658525378219121;0.6607817059932044;3.4873880991187254;31.194383659092964
2200;15;0.1072555203398383;0.64922378528642355;0.010091394572759357;0.57915996661203417;14.248154949717014;102.89745739074309;0.11099831397160498;0.6558310739107398;0.010091678516989055;0.57915623959361928;14.250858661716906;102.90383532465147
2200;16;0.021596379761835708;0.16384320255280471;0.009582767588118846;0.57641817588277655;14.863414824966808;107.38575153117985;0.022367630455349501;0.1697589875426786;0.0095522708703478926;0.57641539105236084;14.86609749381237;107.39087453004232
2200;17;0.019896683031417596;0.49189946039422949;0.010186955599744795;0.57656768952971993;14.86630817471192;107.14374174449942;0.021735745123499815;0.55452956285559907;0.010253975336225922;0.5765858125163692;14.865129116045708;107.11410846140363
2200;18;0.014845210911031175;0.12796561982817423;0.0023744748076914377;0.57658326400226656;15.343940634184396;107.22278826256907;0.0088304863078625603;0.17113885796824491;0.0097431417075182856;0.5750651666013995;15.233258195057321;109.69276899602589
2200;19;0.024368750718782865;0.67112311175652195;0.010710996097853493;0.57707768421764238;14.682686718390935;106.27989738387997;0.025536262963040297;0.66850520261638735;0.010731354753555267;0.5770643945570304;14.687581513132612;106.30234106376047
2200;20;0.0084426513918099029;0.28543974591190846;0.010251256270621963;0.57532982761509677;15.131789482583002;109.23089940255579;0.0088835753306271692;0.28325137016107504;0.010221341827156004;0.57532252938401141;15.135308413497503;109.24376946084938
2200;21;0.010406394483757369;0.64747182526367908;0.0100770925411906;0.57704152968585942;14.96250055879435;106.39986250743659;0.0089283769801729827;0.58772034644167803;0.013190746824267038;0.57603812038313695;14.978112802283887;108.03092312994939
2200;22;0.0088181355477799754;0.34984063464715831;0.00039723384797378639;0.57735938629382944;15.460981747171553;105.99659843666926;0.0053329568040479886;0.29984479643090367;0.003681451538686382;0.57542718961575445;15.442360365576487;109.13804989770593
2200;23;0.028724496140394549;0.74916431022380436;0.010869425776500201;0.57747167586653203;14.504561166071619;105.6093147328824;0.029452851028102155;0.75240791193245116;0.010876513845508943;0.57750205101948326;14.490221522799708;105.55765213866
