Year;Discount Prices;Net Expected Damages;Expected Damages;Risk Premium;Expected SDF;Cross SDF & Damages;Discounted Expected Damages;Cov Term;Scaled Net Expected Damages;Scaled Risk Premiums
2015;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020;0.89865741878654615;-0.011991193556066352;-0.38061767405580538;0.00054299083657626511;0.89865741878654615;-0.34185586117870637;-0.98250015872784702;0.00018903533282266238;-0.85263346093067049;0.038609347274645829
2025;0.80825923743984784;-0.025516838824245814;-0.41601970077307371;0.0010526873370456285;0.80825923743984784;-0.33588528643953286;-0.96585979484512707;0.00036647966726538472;-1.8143740651838764;0.074851301771292914
2030;0.73692239543859861;-0.045419832423633462;-0.021457259727197808;0.0020243310465627756;0.73692239543859861;-0.015107590208234902;-0.045419832423633462;0.00070474502947987655;-3.2295758327295068;0.14393999881913633
2035;0.66274343189465967;-0.036935195779463435;-0.019401953470521427;0.003634803274757575;0.66274343189465967;-0.011593106837574071;-0.036935195779463435;0.0012654103909398012;-2.6262759966595559;0.25845257867519134
2040;0.59657804759143818;-0.028981640846975035;-0.016912436826937993;0.0051288080551881504;0.59657804759143818;-0.00830405944599295;-0.028981640846975035;0.0017855290962352551;-2.0607387098930485;0.36468374412419308
2045;0.53701851199724615;-0.021494999537284776;-0.013934733552245504;0.0065106489671793331;0.53701851199724615;-0.005216610495697542;-0.021494999537284776;0.0022665993816074386;-1.5284013023796501;0.46293950104595355
2050;0.48340528847836417;-0.014453649118000539;-0.010409181850579152;0.0077863695980224783;0.48340528847836417;-0.0023211283104291433;-0.014453649118000539;0.0027107252448738245;-1.0277262903761388;0.55364957853495966
2055;0.4351446913262636;-0.0078368695957124444;-0.0062698827062002138;0.0089617294400058008;0.4351446913262636;0.00039160560495936998;-0.0078368695957124444;0.0031199117798007404;-0.55724037936775939;0.63722350511895487
2060;0.38902495866227449;-0.0017503202651916782;-0.0015663562399570452;0.010165564929799892;0.38902495866227449;0.0029296600767495951;-0.0017503202651916782;0.0035390117482492801;-0.12445647036465964;0.72282219179306273
2065;0.35054210794797386;0.0014175194280826875;0.0014077946540791419;0.011126425172887115;0.35054210794797386;0.0043670142897896114;0.0014175194280826875;0.0038735229841908203;0.10079267674660815;0.79114413078133627
2070;0.31620014185628198;0.004392683941117758;0.0048363573389803571;0.012013672090107248;0.31620014185628198;0.0057116635564698195;0.004392683941117758;0.0041824066798165603;0.31234166090122339;0.85423179642465819
2075;0.28522298634524823;0.007185726182743271;0.0087707478780174597;0.012820365939772319;0.28522298634524823;0.0069648657548374709;0.007185726182743271;0.0044632468525880823;0.5109408463674564;0.91159173859684084
2080;0.25728091968226974;0.0098049971581462281;0.013267539165068287;0.013551097531750886;0.25728091968226974;0.0081311264127054885;0.0098049971581462281;0.0047176417343961861;0.69718403112059213;0.96355038669695969
2085;0.23207653385821228;0.01225850665051134;0.018388945395381162;0.014210236814953123;0.23207653385821228;0.0092147553758745258;0.01225850665051134;0.0049471126672065331;0.87164075055559798;1.0104184658122173
2090;0.20934156735512632;0.014553936335146333;0.024203350221380093;0.014801942574590159;0.20934156735512632;0.010219874749625527;0.014553936335146333;0.0051531074790367743;1.0348572099666133;1.0524916862412801
2095;0.18883404838945098;0.016698652407799268;0.030785882422862398;0.015330171728114196;0.18883404838945098;0.011150426531370267;0.016698652407799268;0.0053370037202195202;1.1873571824830764;1.0900514044818241
2100;0.16238693103562407;0.018328890110985124;0.039294844910769955;0.016002304727202522;0.16238693103562407;0.011951967520035585;0.018328890110985124;0.0055709982494548411;1.3032751858501244;1.1378434013784522
2105;0.14643226213773722;0.018368280993015212;0.043669903136750454;0.015535159700947264;0.14643226213773722;0.011803050371581051;0.018368280993015212;0.0054083676679308164;1.3060760733445502;1.1046270681894121
2110;0.13219900378184188;0.018408842256854328;0.048478456016143312;0.015097329528324601;0.13219900378184188;0.011664746268945526;0.018408842256854328;0.0052559426787295409;1.3089601808026747;1.07349516679547
2115;0.11934942850441027;0.018430433931575681;0.053760797489602052;0.014668808737163794;0.11934942850441027;0.011523079088249817;0.018430433931575681;0.0051067586319244783;1.3104954561911404;1.0430252086933136
2120;0.10774900137917703;0.018434163184484577;0.059560818810444616;0.014249527177456719;0.10774900137917703;0.011378409853836714;0.018434163184484577;0.0049607911056852036;1.3107606246082402;1.0132122058687034
2125;0.097276270288150182;0.018421087489793604;0.065926320909043268;0.013839407526775146;0.097276270288150182;0.011231079793046149;0.018421087489793604;0.0048180131811947297;1.3098308777263881;0.9840506603126814
2130;0.087821593485924013;0.018392216629367422;0.072909353337180516;0.013438365879678853;0.087821593485924013;0.01108141123794389;0.018392216629367422;0.0046783956478444249;1.3077780160550185;0.95553460593141759
2135;0.079285990941310988;0.018348514617445893;0.080566582019309108;0.013046312305094138;0.079285990941310988;0.010929708489433561;0.018348514617445893;0.0045419071972782306;1.3046705857979666;0.92765764817859275
2140;0.071580107413751148;0.01829090155223672;0.08895968822266731;0.012663151373228146;0.071580107413751148;0.0107762586453035;0.01829090155223672;0.0044085146068311614;1.3005740105109076;0.90041300152162618
2145;0.064623276393798876;0.018220255396985137;0.098155801357091566;0.01228878265342298;0.064623276393798876;0.01062133239360501;0.018220255396985137;0.0042781829128508636;1.2955507177442649;0.87379352484157724
2150;0.058342675094778314;0.018137413693112669;0.10822796843141802;0.011923101184295043;0.058342675094778314;0.010465184772732776;0.018137413693112669;0.0041508755743706301;1.2896602608558894;0.84779175486238867
2155;0.052672561637540721;0.018043175207967863;0.11925566322716907;0.011565997917415903;0.052672561637540721;0.010308055899530095;0.018043175207967863;0.0040265546275712327;1.2829594361743271;0.82239993769880249
