Year;Node;SDF;DeltaConsumption;Cost;CertainEquivalence;Consumption;Utility
2015;0;1.0;-0.18323475670417588;0.033489567747140313;0.75055985044476781;0.96646655473915677;9.8682974061076507
2030;1;0.75178330929333836;0.0015196802595651704;0.064648888515301511;0.73478192005756171;1.1676562376374933;11.946887095683229
2030;2;0.71671674685351827;0.00076369922834551573;0.024246384666895996;0.73307816343316368;1.2189492568295939;12.207748499340608
2060;3;0.4118390600973742;0.027394976717776132;0.086615672768602478;0.70365718871102856;1.752939025324791;17.646709048369139
2060;4;0.39868161257493523;0.015673777787617027;0.067607237229674197;0.70162993737926005;1.8049202386143122;18.112821693407824
2060;5;0.39700540461310102;0.010624912781054263;0.062774905156935457;0.70242582702104395;1.8117773333797638;17.936970773981816
2060;6;0.36980970727292561;0.0069140764180408709;0.006077621533064145;0.70044748284061908;1.9312617226533133;18.420681121229567
2100;7;0.18304209802373522;0.13043681251625472;0.087569261794451458;0.66453310607532745;3.0363833704853098;29.562620168641857
2100;8;0.17563588555195997;0.084503730823604073;0.079810388232793961;0.66202568740475354;3.1513785489156194;30.588807282939097
2100;9;0.17729530934602192;0.07832702548333792;0.085915203719643882;0.66243932038493136;3.1248198258440731;30.414582140632657
2100;10;0.16859601351984096;0.048023569139266087;0.059790243330878054;0.66068994867080477;3.2695647347206989;31.16839792162579
2100;11;0.18201520075633071;0.049171855343033144;0.10029631756338525;0.66363402733317411;3.0517967563544657;29.918243462582772
2100;12;0.16613630308254362;0.032335576685582623;0.042858845472698498;0.66147129794058757;3.3130990798522046;30.861986535388453
2100;13;0.16051555868730255;0.01672300977983987;0.009439991641015992;0.66363737802287048;3.4173313069306466;30.02442024195599
2100;14;0.15695170732347652;0.011003544477361515;0.0022280863759464578;0.65964142753366084;3.4870894314777683;31.667421145443853
2200;15;0.020451150935067334;1.0117636917573947;0.010942086216557007;0.57943950922331355;13.902207683582171;102.38757193442295
2200;16;0.019299672088064469;0.52888892957376754;0.010094180013252133;0.5767765937703635;14.646532780842447;106.75667307169179
2200;17;0.019439244990249481;0.83995199928104114;0.011472160232844704;0.57715942365263562;14.551853453243506;106.1193738099131
2200;18;0.01872754353852547;0.43940685098249332;0.010604886461802691;0.57546226743775786;15.048632678522324;108.99329767897801
2200;19;0.019565728513902206;0.88869123580828102;0.011582135007282984;0.57732957835462873;14.467161979486486;105.8278163574012
2200;20;0.018802077352275261;0.48092491519060587;0.010714443672011728;0.57556186708941981;14.994932771658583;108.81689472076236
2200;21;0.019335272705821679;0.83581865078556916;0.016304183281307272;0.57679066371154564;14.622260035175648;106.72849703231773
2200;22;0.01866737565668861;0.50283727950244383;0.014906847771940851;0.57516658331724246;15.092279615213021;109.49278085946848
2200;23;0.019994078033482059;1.0519710173166885;0.011804431923916715;0.57786734120324934;14.187913018049265;104.90873877149875
2200;24;0.019060848997717358;0.62700653951885954;0.010908412679074228;0.57588369604441492;14.811592534927211;108.24651929307458
2200;25;0.020106816979449965;0.33973180092772282;0.024731604841297501;0.57872116879876134;14.116296779735327;103.55024101905111
2200;26;0.019183747296109322;0.21667721414910801;0.023202231480625689;0.57632044190580267;14.726165764509556;107.51392048531125
2200;27;0.020642014057528912;0.057972058046296127;0.020820486984019844;0.58511557094246336;13.786464237209987;94.01688893163896
2200;28;0.019186713114093687;0.036308346086855181;0.0068625007821835494;0.57950348084306746;14.724117092194973;102.47015947642224
2200;29;0.019177442465575185;0.07916160832053265;0.0032958968105644276;0.57983841366589794;14.730522890357483;101.95631350382409
2200;30;0.018343474160576634;0.029661356652077586;0.0008102133418248184;0.57543272366403042;15.331913815390502;109.10479468723689
2300;31;0.0023369891008595384;3.2551600513606616;0.001823354547679846;0.52080041795109189;62.375780270186013;271.84985435756039
2300;32;0.0022227820816464123;1.3222479440656798;0.0017024530460210772;0.51782467322281367;65.252901491690139;286.18332471548047
2300;33;0.0022165561671707227;2.1042192496580014;0.0018680636529252931;0.51792059203278751;65.417834109259516;285.74159314945814
2300;34;0.0021486304739388356;0.71630242372862085;0.0017788862920834264;0.51641075538812364;67.276203983682464;293.36381684116805
2300;35;0.0022398797346997821;2.5534465129481987;0.0018465773233121783;0.5182545818670713;64.804445376832362;284.05856115425769
2300;36;0.0021623859605446427;0.9313161337360043;0.0017522010113132233;0.51660415694884099;66.890916517339647;292.35662272691502
2300;37;0.0021585332657140309;1.6364018262706281;0.0019216649971552007;0.51668569134916131;66.998359363960191;291.96742287725414
2300;38;0.0021118002163922471;0.34026097616361994;0.0018489677528468348;0.51556778237191225;68.331270982388261;297.71655016490985
2300;39;0.0022467541440772958;2.5836868584093509;0.0018424691202763438;0.51835452568462781;64.625963454504202;283.55756016901955
2300;40;0.0021663314076127557;0.94607811029590039;0.0017465847100270175;0.51666165987742452;66.781263305672766;292.05846600089279
2300;41;0.0021623761959670275;1.6671663305899642;0.0019141013768297578;0.51674385360917774;66.891188379544772;291.66679580078733
2300;42;0.0021137339071798551;0.35346004612080151;0.0018407797830145988;0.51559583021212796;68.275008398456961;297.56792475267815
2300;43;0.0022344482077554361;2.2755676562368876;0.0018780420844631905;0.51772601132609619;64.946204155281038;286.62078400722976
2300;44;0.0021528897083171981;0.60296793451612984;0.0017923413576209971;0.51609807734211954;67.156405539509393;294.90509481745045
2300;45;0.0021499320887276574;1.5350706795800306;0.0020197728586082396;0.51621452759236874;67.239547131478133;294.33495307411658
2300;46;0.0021020636016259833;0.13535558559709671;0.001551594847556226;0.51519973448217926;68.616061507467762;299.61636086089482
