Year;Discount Prices;Net Expected Damages;Expected Damages;Risk Premium;Expected SDF;Cross SDF & Damages;Discounted Expected Damages;Cov Term;Scaled Net Expected Damages;Scaled Risk Premiums
2015;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020;0.89816093095681548;0.0020549685440683476;-0.21629272924897913;4.25367458646188e-05;0.89816093095681548;-0.1942571209179528;-0.96556336309959012;8.5581435007309192e-06;0.084142984839425117;0.001741714622706194
2025;0.806721133148108;0.0039328932385047392;-0.232523746916935;8.2437051000619767e-05;0.806721133148108;-0.18756523474606618;-0.9323424210942195;1.6585850607514496e-05;0.16103671129068892;0.0033754772317922928
2030;0.73505122036606951;0.0046628597448564969;0.0012762920124420596;0.00012922306026365461;0.73505122036606951;0.00096413892224218802;0.0046628597448564969;2.5998920953185299e-05;0.19092600611933092;0.0052911826957421151
2035;0.66113823362628898;0.010143757156940552;0.0030868951061524541;0.00043665003734575834;0.66113823362628898;0.0021287158014638955;0.010143757156940552;8.7851423592626154e-05;0.41534747922782361;0.017879124027747922
2040;0.59468356516099763;0.015259511872856719;0.0051626181853503539;0.00072739456541094541;0.59468356516099763;0.0032164717034750029;0.015259511872856719;0.0001463475154458542;0.62481777635040314;0.029783983830955291
2045;0.53490895529497284;0.02002803580736633;0.0075331010332690962;0.0010020797571000258;0.53490895529497284;0.0042311357669548612;0.02002803580736633;0.00020161256311740806;0.82007032086552401;0.041031276149187557
2050;0.48114288776388914;0.024466644739288296;0.010230942581729296;0.0012613157435770229;0.48114288776388914;0.0051763145797346947;0.024466644739288296;0.00025376932141492163;1.0018141266988969;0.051645983485185544
2055;0.43278135414436036;0.028591890175687782;0.013291978414559091;0.0015056947264438037;0.43278135414436036;0.0060554573553338936;0.028591890175687782;0.00030293693782340158;1.1707269138146907;0.061652354195719274
2060;0.39494677900712166;0.032368235286535284;0.01648905428788261;0.0018523733810979872;0.39494677900712166;0.0068849855273851804;0.032368235286535284;0.00037268664751237586;1.3253535869711583;0.075847499355931061
2065;0.35567055505257977;0.035714948049745614;0.020203072012928147;0.0022997311577193824;0.35567055505257977;0.0076483302419789595;0.035714948049745614;0.00046269240537356524;1.4623884832519607;0.094165063741384267
2070;0.32032043375579949;0.038805089773560009;0.02437358152648228;0.0027241553546371671;0.32032043375579949;0.0083554402684049081;0.038805089773560009;0.00054808406165976313;1.5889177914348609;0.11154358706225051
