Year;Discount Prices;Net Expected Damages;Expected Damages;Risk Premium;Expected SDF;Cross SDF & Damages;Discounted Expected Damages;Cov Term;Scaled Net Expected Damages;Scaled Risk Premiums
2015;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020;0.89799926900706928;0.0023167789975357244;-0.27292406787010615;0.00030197992275563017;0.89799926900706928;-0.24500892480604844;-0.96508346900364672;7.6688635742644395e-05;0.11975712341137719;0.015609709392078735
2025;0.80657416552080574;0.0044820024304985072;-0.29331137453703082;0.00058416912847613993;0.80657416552080574;-0.23642902579075292;-0.9315802450669961;0.00014835136421323392;0.23168015540982806;0.030196412556590866
2030;0.73662643896451518;0.0056733238098298317;0.0019558845304357142;0.00072040126675425157;0.73662643896451518;0.0016237041488137349;0.0056733238098298317;0.00018294789213309172;0.29326100606452826;0.037238417432205267
2035;0.66254853419915549;0.010749840975559201;0.0041203801325107037;0.0024673858294089546;0.66254853419915549;0.0033565512658083512;0.010749840975559201;0.00062659944867006229;0.55567235102357737;0.12754217367746795
2040;0.59606610381606862;0.015491905330896371;0.0066002950631305346;0.0040993185076304891;0.59606610381606862;0.0049752454235879708;0.015491905330896371;0.0010410332612713208;0.800795423544028;0.21189875812195466
2045;0.53625501879669146;0.019914603334356022;0.0094309020200633586;0.0056216726706203512;0.53625501879669146;0.0064850078472071266;0.019914603334356022;0.0014276393071682948;1.0294100610105013;0.29059109587489546
2050;0.482445799546867;0.02403369088057079;0.012651000815039337;0.0070398633521397656;0.482445799546867;0.0078912149524258957;0.02403369088057079;0.0017877927491461764;1.2423307047745391;0.36389909661568115
2055;0.43403615245683297;0.027864236443626442;0.016303249839011436;0.008359069248486244;0.43403615245683297;0.0091990085641052606;0.027864236443626442;0.0021228087314382558;1.4403362625837646;0.43209045345283476
2060;0.39597041400462002;0.031555078080316573;0.020237621247792825;0.0095180233165169919;0.39597041400462002;0.010430627583117169;0.031555078080316573;0.0024171283191599495;1.6311203545697044;0.49199819843019565
2065;0.3567398703190009;0.034653670732446518;0.02466894272677711;0.011796924120462318;0.3567398703190009;0.011796256904094011;0.034653670732446518;0.0029958614748366846;1.7912903764135728;0.60979735195785478
2070;0.32148751208632942;0.037528199003960254;0.029644665710870655;0.013920660363655702;0.32148751208632942;0.013065579987615506;0.037528199003960254;0.0035351901615967816;1.9398782379779795;0.71957586067182766
2075;0.28971945097714658;0.040181601831132847;0.035221069109486747;0.015893710292473922;0.28971945097714658;0.01424048044770948;0.040181601831132847;0.0040362516424808439;2.077035856452508;0.82156521057253995
