Year;Node;Cost;CertainEquivalence;Consumption;Utility;SDF;DeltaConsumption;MU_2;MU_1;MU_0
2015;0;0.0;0.75203264078600607;1.0;9.7117640312565658;1.0;-2.3465983156611969e-06;0.12715908994506631;0.15087275283863233;0.3094532121187118
2030;1;0.055633096148668702;0.73691991979547611;1.1775522661303051;11.651417975032775;0.83927798004826826;0.002857596905947446;0.13076538812600086;0.15386167682419402;0.31593338076548327
2030;2;0.020113633405129894;0.73441747175149297;1.2233393502297034;12.016523752819145;0.67831572233727655;0.0012183702705392818;0.12497483495235796;0.15697951349476505;0.31338411215683021
2060;3;0.10336284527278136;0.70629899243792738;1.7053663985379746;17.064866237461768;0.51676761112702829;0.029645961440261104;0.12548861094699135;0.16327578028384609;0.31990797538270299
2060;4;0.05011466462157603;0.70397305327628179;1.8288956373037566;17.601651500103177;0.40728312532297123;0.030074116269940276;0.12602127078116818;0.14992682783722766;0.30635452373695837
2060;5;0.042577543108636332;0.70467118900384706;1.840244620168592;17.453710795586506;0.4125503384990849;0.02057186291866131;0.11946297964948278;0.1521317176344715;0.30141593878018474
2060;6;0.013404839662220209;0.70116656355133944;1.9100573216686674;18.250307079126813;0.31555101362030707;0.012017506227368635;0.11849534231200252;0.15494673327855832;0.30390273621000907
2100;7;0.090630391472057148;0.66761014548564646;2.9690298379554769;28.375982453099709;0.2576743772259914;0.10241049028727467;0.11604427029118979;0.15760191543234506;0.30399027292024267
2100;8;0.089947981112889056;0.66382915012298016;3.0790702256555007;29.850171805120887;0.19113601557212523;0.039544114278022846;0.12513874147639603;0.15249388554187829;0.3088434966753465
2100;9;0.065432789404320277;0.66583152115668454;3.1552455475985566;29.099513626243343;0.19728983331874406;0.060207281669555357;0.11195965387181731;0.15133705541345319;0.29218336771083858
2100;10;0.013200534606016836;0.66345175885714314;3.4057431987378353;30.094495462474839;0.15280296303461235;0.016289753841158827;0.10602534929128153;0.14484598529159218;0.27862105742863258
2100;11;0.047526141005788225;0.66730300599408465;3.199572343705992;28.557594920829686;0.20423830599996415;0.0563813945245073;0.10588966442213715;0.1482041626192864;0.28174245751352367
2100;12;0.022057611437902677;0.66376981934360246;3.363555420822963;29.957256057395075;0.15221427638159452;0.025438457484794341;0.1073182658660599;0.14573967055968931;0.2810755897054476
2100;13;0.014048116359615493;0.66419006896012212;3.3832826135036491;29.797942109876633;0.15488154690996994;0.029262531318208218;0.10422290103982104;0.14574484912133759;0.27760557766035437
2100;14;0.0078294838156091895;0.66007681299632004;3.4555648337463816;31.476796675425916;0.11593472498578526;0.022032306136798852;0.11224695187775856;0.14683982433999412;0.2881884078212984
2200;15;0.0096144229785806671;0.58316363427270845;13.193040466823154;96.666810965988574;0.034215370801226261;1.1570054585382294;0.083323412470972996;0.11952390126382012;0.22627323695325571
2200;16;0.0096144229785806671;0.57892505118783721;14.219425434906681;103.25579325249193;0.023277626108250748;0.84051949173726825;0.08862141864120876;0.11233013533064613;0.22402667113649863
2200;17;0.009446105974054984;0.57909154972335664;14.212444278563614;102.99557245277668;0.023221065649353289;0.95060421383621474;0.088369784097726209;0.11216874934025173;0.22352137514175313
2200;18;0.0097329457078081348;0.5762654413963616;14.858450972627208;107.63315325290202;0.018182401322111432;0.69434861580575102;0.09513117665617199;0.1053426999077626;0.22342003381679842
2200;19;0.020528304694629317;0.58324822037784185;13.308280876989944;96.570520300183887;0.027712066548236797;0.44579660563233148;0.084052354021414047;0.11700501146950798;0.22384919706007114
2200;20;0.019401589279449724;0.57876287205766697;14.181313216215516;103.4998640393969;0.019170344791871363;0.27485559683917415;0.089510609336928171;0.11272494347409112;0.22528595401090373
2200;21;0.021140509060282968;0.58422380829323028;13.873032405528472;95.294561600055545;0.022417942255807233;0.14866576081953298;0.07340394549292148;0.11623959647938141;0.21061161660060565
2200;22;0.02083345921000972;0.57914949055178089;14.5741794273421;102.9854192845649;0.015577190183422351;0.094668532383046511;0.084712407474119358;0.11068736051276941;0.21734183878793217
2200;23;0.027094198970541598;0.58624481667181139;12.916857696335743;92.263938719286003;0.030557699676909474;0.28160012729188111;0.07646315071345422;0.12161430591676341;0.21996177235616218
2200;24;0.030243192275919106;0.58122568495260019;13.807554422260859;99.654458741582033;0.020352758379306498;0.2589642002831738;0.084364707698357397;0.11567579969006962;0.22251157374740957
2200;25;0.051787760193171897;0.58397617516195099;13.411237632979772;95.548218517091939;0.022810601601091912;0.17288097313592488;0.080837347041063698;0.11645692479620093;0.21933161346807928
2200;26;0.029854257015290504;0.57909303619778063;14.422169767773207;103.03977472477764;0.015536946864962882;0.075395143316647761;0.084843828483668837;0.11290366835045861;0.2200175944632301
2200;27;0.055350013980300428;0.58513011226111677;13.277978402440207;93.888132507815172;0.023913196984270611;0.14853910591625663;0.079391226469796544;0.11640668462611133;0.21750154779552119
2200;28;0.0060324961120347218;0.57976501972154093;14.721902411231431;102.06713211475733;0.015291746644094306;0.077930047380192491;0.077466209816755782;0.11391199021931596;0.21279177383374118
2200;29;0.00091051258376601127;0.58001413495706489;14.773332694840779;101.69621156379512;0.015827894479514049;0.072660835613547192;0.076334466510275423;0.11356819257794844;0.21111310299441163
2200;30;0.0015874169659544786;0.57552706021834843;15.322597533086105;108.94685570140497;0.011642212162140885;0.027546963254643231;0.083991227087986953;0.11255455710075415;0.21884316030807488
2300;31;0.0021122565646362113;0.52502720023632521;58.300823034466369;252.81360693959209;0.0046762956930426879;3.078525496580653;0.0;0.11344369450130611;0.126332355022792
