Year;Discount Prices;Net Expected Damages;Expected Damages;Risk Premium;Expected SDF;Cross SDF & Damages;Discounted Expected Damages;Cov Term;Scaled Net Expected Damages;Scaled Risk Premiums
2015;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020;0.89846164749791202;203.73594887687452;0.00052958873328901035;4.7378117805871254;0.89846164749791202;0.00048693290695142209;202.76805051447715;1.1117741144245526e-05;0.0;0.0
2025;0.80728854486135482;394.12956671603371;0.0011429188184308714;9.1831954020805853;0.80728854486135482;0.00094421454068862709;393.1926754007489;2.1549270862909948e-05;0.0;0.0
2030;0.7587968511927724;659.00308511296328;0.0020379835882433639;28.11022431644264;0.7587968511927724;0.0016123789345754349;659.00308511296328;6.5963405033822716e-05;0.0;0.0
2035;0.68319953819919588;1135.3985870418028;0.003899774901749975;51.799771441272476;0.68319953819919588;0.0027858776683721224;1135.3985870418028;0.00012155325641572496;0.0;0.0
2040;0.61518829843960998;1579.976873914266;0.0060267256066393049;74.169445409208208;0.61518829843960998;0.0038816169667816331;1579.976873914266;0.00017404589567077307;0.0;0.0
2045;0.5539481734798587;1994.2592683238986;0.008447948136813821;95.273400328905126;0.5539481734798587;0.0049032938407797154;1994.2592683238986;0.00022356840073912369;0.0;0.0
2050;0.49880496786477485;2379.7551870130701;0.011195416792730839;115.15910345070527;0.49880496786477485;0.0058545616717213455;2379.7551870130701;0.00027023215819047854;0.0;0.0
2055;0.44915162244123813;2737.9075080748366;0.014304232303480324;133.87274518194283;0.44915162244123813;0.0067389147052414446;2737.9075080748366;0.00031414555835688768;0.0;0.0
2060;0.41303802214234786;4061.9767665486547;0.023077361714057831;183.29795247079795;0.41303802214234786;0.0099619545051701092;4061.9767665486547;0.00043012666653212059;0.0;0.0
2065;0.37224382536100531;3952.9903821501844;0.024919367201275966;183.4662126399339;0.37224382536100531;0.0097066020781401419;3952.9903821501844;0.00043052150556160788;0.0;0.0
2070;0.33552408529680444;3847.124917867578;0.026906136542836911;183.63426025947649;0.33552408529680444;0.0094585726982288568;3847.124917867578;0.00043091584582257737;0.0;0.0
2075;0.30242796125065502;3743.8024799277337;0.029048903273481974;183.79380133608805;0.30242796125065502;0.0092164908182108644;3743.8024799277337;0.00043129022464423288;0.0;0.0
2080;0.272597724991122;3642.9754886533551;0.031359763350730097;183.93824762348049;0.272597724991122;0.0089802293277279205;3642.9754886533551;0.00043162918205893151;0.0;0.0
2085;0.24571097723212459;3544.5965531464922;0.033851740752527393;184.06170009129173;0.24571097723212459;0.0087496631767240048;3544.5965531464922;0.00043191887541196156;0.0;0.0
