Year;Discount Prices;Net Expected Damages;Expected Damages;Risk Premium;Expected SDF;Cross SDF & Damages;Discounted Expected Damages;Cov Term;Scaled Net Expected Damages;Scaled Risk Premiums
2015;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020;0.89798079372390083;0.0022651505159839414;-0.3072660664181992;0.00029469191840180993;0.89798079372390083;-0.27583477607494111;-0.96511549028204013;8.4250131694219021e-05;0.13266455012214651;0.017259414111130789
2025;0.80653545063723919;0.004381806851969588;-0.33023649677661471;0.00057007404981191734;0.80653545063723919;-0.26618446199939527;-0.93163579677245001;0.00016297974519485781;0.2566321445911392;0.033387899312181654
2030;0.73848733776370135;0.0055956159866179071;0.00216624319526737;0.00070392836475293829;0.73848733776370135;0.0018009908249092574;0.0055956159866179071;0.00020124765468752348;0.32772209717750095;0.041227432424110429
2035;0.66406970769976748;0.010574992637818385;0.0045526971994558352;0.0026146007312752811;0.66406970769976748;0.0037708023496735104;0.010574992637818385;0.0007474940511853238;0.61935250260037622;0.1531310291815193
2040;0.59731195303511542;0.015226072731796872;0.0072876760084661374;0.0043997981153617114;0.59731195303511542;0.0056108841140065993;0.015226072731796872;0.0012578681243025367;0.89175534907598819;0.25768585066815386
2045;0.5372654358050637;0.019563542150625959;0.010410245012620889;0.0060653538629196176;0.5372654358050637;0.0073271024058914197;0.019563542150625959;0.001734037582348167;1.1457907542541617;0.35523354226477333
2050;0.48325544723883607;0.023602886165543221;0.013963385115245419;0.007617177232924985;0.48325544723883607;0.0089255737554242293;0.023602886165543221;0.0021776918365881979;1.382365654132198;0.44612019540242071
2055;0.43467511187639069;0.027358914018489423;0.017994361556888938;0.0090609194646241471;0.43467511187639069;0.010412147655335907;0.027358914018489423;0.0025904465324509841;1.6023473912579143;0.53067678990206457
2060;0.39715341737827803;0.031044629870642031;0.022347582277770783;0.010291029289796177;0.39715341737827803;0.011817544053535472;0.031044629870642031;0.0029421253817765638;1.8182111194974007;0.60272143567978309
2065;0.3575419323971526;0.033881546007511844;0.027091846001287001;0.012698389699748836;0.3575419323971526;0.013316842005467308;0.033881546007511844;0.0036303710339610825;1.9843626402799426;0.74371488556958287
2070;0.32199657385266101;0.036512967791179379;0.032418897835106986;0.014942937841279648;0.32199657385266101;0.014710843953545464;0.036512967791179379;0.0042720699225615652;2.138478839026333;0.87517280296733169
2075;0.28998539052768535;0.038938871014689333;0.038389247504344581;0.017027866437957746;0.28998539052768535;0.016000455752071742;0.038938871014689333;0.0048681348224604085;2.2805582979920058;0.9972821782001513
2080;0.26115694911534298;0.041169818437254251;0.045069187391399979;0.018961164238210128;0.26115694911534298;0.017190981133059675;0.041169818437254251;0.005420849654813974;2.4112196531965511;1.1105108935163197
2085;0.23519476636023812;0.043215903015022601;0.052531318472331945;0.020750470661134481;0.23519476636023812;0.018287489644930689;0.043215903015022601;0.0059323984702353161;2.531054025396577;1.2153063717650638
2090;0.21181383287116162;0.045086767318425092;0.060855122539749118;0.022403089994235768;0.21181383287116162;0.019294826262805331;0.045086767318425092;0.0064048695078168499;2.6406261573141161;1.3120964079246735
2095;0.19075748272133541;0.046791622181510492;0.070127584691476175;0.023926005040564705;0.19075748272133541;0.02021762062181455;0.046791622181510492;0.0068402590967412968;2.7404755058844619;1.4012899683833766
2100;0.16632559930518123;0.048006952292811621;0.082517754490452067;0.025353376317128112;0.16632559930518123;0.020973148432565383;0.048006952292811621;0.0072483334636231338;2.8116545385041225;1.4848877544582251
2105;0.14954790892062766;0.046300276476451435;0.088512702705045854;0.02427421190358366;0.14954790892062766;0.020176698338102671;0.046300276476451435;0.00693980873564988;2.7116985409736802;1.4216836272179143
2110;0.13451754094264995;0.044670642434910687;0.094939216044187535;0.023251720030985513;0.13451754094264995;0.019418476128455268;0.044670642434910687;0.0066474862471681828;2.6162546994014888;1.3617986777081192
2115;0.12099795169382882;0.043096599902655158;0.10182803236397087;0.022271681461034989;0.12099795169382882;0.018688284169389807;0.043096599902655158;0.0063673008283364231;2.5240667220722663;1.3044001185097867
2120;0.10883727041362234;0.041576300468569;0.10921205107580212;0.021332366381690237;0.10883727041362234;0.017985099474684269;0.041576300468569;0.0060987579393208587;2.4350263518845998;1.2493866385909522
2125;0.097898894603638126;0.040107955800357316;0.11712648278943139;0.020432114144734892;0.097898894603638126;0.01730793600758589;0.040107955800357316;0.0058413828136885115;2.3490288504126329;1.1966609776826052
2130;0.088059954890219935;0.038689835733844283;0.12560900911133266;0.019569330548072916;0.088059954890219935;0.016655843357585548;0.038689835733844283;0.0055947196814363689;2.2659728860007413;1.1461297671090735
2135;0.079209934251445929;0.037320266421662182;0.13469995326951256;0.018742485223104313;0.079209934251445929;0.016027905464213305;0.037320266421662182;0.0053583310220623754;2.1857604253365936;1.0977033767727513
2140;0.071249426085047793;0.035997628539628797;0.14444246227900415;0.017950109123301871;0.071249426085047793;0.015423239386259236;0.035997628539628797;0.0051317968465690259;2.1082966284028837;1.0512957680659323
2145;0.064089017155010017;0.034720355548863727;0.1548827014066112;0.01719079211001457;0.064089017155010017;0.014840994114725899;0.034720355548863727;0.0049147140072632999;2.0334897466935633;1.00682435247698
2150;0.057648282858833944;0.033486932012195388;0.16607006174301775;0.016463180631891203;0.057648282858833944;0.014280349428067395;0.033486932012195388;0.0047066955343218909;1.9612510246097494;0.96420985567961526
2155;0.05185488352042697;0.032295891963011379;0.17805738173971575;0.015765975494268336;0.05185488352042697;0.013740514788141697;0.032295891963011379;0.004507369998076537;1.8914946039271179;0.92337618689120415
2160;0.046643751549525554;0.031145817325047107;0.19090118362310449;0.01509792971507205;0.046643751549525554;0.013220728275459424;0.031145817325047107;0.0043163808960329821;1.8241374312466325;0.88425031329795345
2165;0.041956360330255134;0.030035336381570681;0.20466192565499197;0.014457846464003473;0.041956360330255134;0.012720255562364842;0.030035336381570681;0.0041333860637001105;1.7590991683382964;0.8467621393578445
2170;0.03774006662036028;0.028963122292395775;0.21940427126867501;0.013844577081765539;0.03774006662036028;0.012238388922773652;0.028963122292395775;0.0039580571083022587;1.6963021052860747;0.81084439079139159
2175;0.033947519069147683;0.027927891657311209;0.23519737617426761;0.013257019176222851;0.033947519069147683;0.011774446277175551;0.027927891657311209;0.0037900788644860996;1.6356710763513371;0.77643250307819378
2180;0.030536126205564201;0.026928403124526046;0.25211519459452658;0.0126941147926367;0.030536126205564201;0.011327770271683879;0.026928403124526046;0.0036291488712050382;1.5771333784727526;0.74346451429189353
2185;0.027467577916445961;0.025963456042679404;0.27023680586311105;0.012154848655095611;0.027467577916445961;0.010897727389894342;0.025963456042679404;0.0034749768689578582;1.520618692317667;0.71188096210489027
2190;0.024707415036343723;0.025031889155152903;0.28964676269385148;0.011638246476383871;0.024707415036343723;0.010483707096403604;0.025031889155152903;0.0033272843165932557;1.4660590058110474;0.68162478480130684
2195;0.022224642211214639;0.024132579335359002;0.3104354625086736;0.011143373333686122;0.022224642211214639;0.010085121010864596;0.024132579335359002;0.0031858039269363897;1.413388540064288;0.65264122614581865
2200;0.018812204381767238;0.023091264939763524;0.35092184032640139;0.01061448337633685;0.018812204381767238;0.0096362117762989752;0.023091264939763524;0.0030345983940528237;1.3524011995531073;0.62166538248300407
2205;0.016891560576709205;0.021875617644717626;0.37024816206918665;0.010371531454352895;0.016891560576709205;0.0092192095836691312;0.021875617644717626;0.0029651403256622175;1.2812035902258465;0.60743625854449546
2210;0.015174370918360578;0.02072422437055213;0.39045406833612128;0.010138796427958669;0.015174370918360578;0.0088234980479192718;0.02072422437055213;0.0028986031884040593;1.2137691881174817;0.5938055142048223
