Node;Mitigation;Prices;Average Mitigation;Average Emission;GHG Level
0;0.66100174780149745;115.73120941362747;0.0;0.0;400.0
1;0.83370925146611852;161.53005327632405;0.66100174780149745;8.6471189237618358;392.78700091185414
2;0.66323188785262432;93.008719109898081;0.66100174780149745;17.511941831663535;392.78700091185414
3;1.0365619928439309;173.60546150577937;0.78209551473876049;-2.2302815634797852;389.97033230392606
4;0.95452362287281156;142.28438215751473;0.78209551473876049;2.7740590047584943;389.97033230392606
5;0.93978437851296981;137.04054285229191;0.6625654092166553;3.6731529107088416;413.23189671449899
6;0.63026807070261526;52.262061370742188;0.6625654092166553;22.553647687140465;413.23189671449899
7;1.2193618122998962;140.3521695462556;0.91876179634614896;-16.605689191102137;376.41439171884775
8;1.1864095215723398;131.37397410409761;0.91876179634614896;-14.111200783026124;376.41439171884775
9;1.2157566469429579;139.35294912284442;0.87470145858940029;-16.332778173581914;389.5048481126106
10;1.0985428090639739;109.11201533746907;0.87470145858940029;-7.4596906461428283;389.5048481126106
11;1.262284015929231;152.57143540660218;0.81145136860460143;-19.854900005842786;406.82365595301206
12;0.99820592980462441;86.596313129939276;0.81145136860460143;0.13581111378993185;406.82365595301206
13;0.95078733169611673;77.001006669338977;0.64521948140173635;3.7253989906039631;466.0299058147898
14;0.44923572854675659;12.612513701825998;0.64521948140173635;41.692855349010536;466.0299058147898
15;1.038478776716911;21.017047747422978;1.096355360714236;-3.1321724247565577;290.82856031376031
16;1.0135044273919256;19.818078069726145;1.096355360714236;-1.0992603897027431;290.82856031376031
17;1.0523409192240183;21.700401724219802;1.0768872487587773;-4.2605508248350894;304.30614456193115
18;1.0283145249198165;20.524104024334587;1.0768872487587773;-2.3048023284730599;304.30614456193115
19;1.0562648043574829;21.896163584858858;1.0761958143157728;-4.5799550746991118;303.24523888614181
20;1.0322520849140935;20.714254171139672;1.0761958143157728;-2.6253197120072098;303.24523888614181
21;1.1663876784307721;27.816098435714864;1.0069462396071844;-13.543957024264849;350.53545147462881
22;1.133895646688166;25.982988561947984;1.0069462396071844;-10.899105640416714;350.53545147462881
23;1.0607780234428377;22.122601305099803;1.0778019092652551;-4.9473311082469875;300.64543189939457
24;1.0367883094209247;20.934588657040873;1.0778019092652551;-2.9945683868632713;300.64543189939457
25;1.3062176726189803;36.555251475051065;0.92178538864874338;-24.926118551184995;405.48975634319697
26;1.2761714717292538;34.559124755031227;0.92178538864874338;-22.480357798761265;405.48975634319697
27;1.439276202231504;46.196179679551719;0.82574802701040639;-35.757082861644435;464.57028130666703
28;1.412322836171042;44.136199907877192;0.82574802701040639;-33.563078864322826;464.57028130666703
29;0.83546780926855091;12.434280435944357;0.52943288332948102;13.392920325539958;673.05429006709869
30;0.49730853352475018;3.5560066584648418;0.52943288332948102;40.919085371085337;673.05429006709869
31;0.95612297269607194;3.7984549228956692;1.0748609089513823;0.0;286.87166874139632
32;0.93710729968471496;3.6187195108074466;1.0748609089513823;5.1194658056642028;286.87166874139632
33;0.96370119878475435;3.8715092392886472;1.0655858289483993;2.954722418920996;296.28767732593377
34;0.95018805764729641;3.7418103992256353;1.0655858289483993;4.0546921075100721;296.28767732593377
35;0.96034463534722803;3.8390513259686472;1.0677711285647389;3.2279466827356393;292.98366142178696
36;0.94584409608252062;3.7006659364834551;1.0677711285647389;4.4082905788828217;292.98366142178696
37;0.97183327962870802;3.9508107298553781;1.0588481041265509;2.2927710382231674;302.16682775915848
38;0.95909602621244605;3.8270181132943848;1.0588481041265509;3.3295834663068917;302.16682775915848
39;0.9595224615155109;3.8311253081670986;1.0687937511229415;3.2948716326374128;292.22305893241469
40;0.94470645311484269;3.6899345832594426;1.0687937511229415;4.5008947164518052;292.22305893241469
41;0.97068677025621763;3.9395732915973549;1.0598758053126853;2.3860969011438851;301.42944319168583
42;0.95934858414131707;3.829450303570971;1.0598758053126853;3.3090252508967906;301.42944319168583
43;0.96132731114656411;3.8485372202658685;1.0661602788454363;3.1479568726696816;289.18480987448828
44;0.94766883495475018;3.7179167692438551;1.0661602788454363;4.2597568346833361;289.18480987448828
45;0.98257960318783244;4.0570527876276312;1.0540932499931317;1.4180203005104397;302.27457010373251
46;0.92129548249374915;3.4731371777718052;1.0540932499931317;6.4065477250088199;302.27457010373251
47;0.95813540215439852;3.8177753501742338;1.071479506190409;3.4077782646319612;290.92996779320919
48;0.94277302215554182;3.671738431783087;1.071479506190409;4.6582759965388965;290.92996779320919
49;0.96871070736136944;3.9202490142617874;1.0625701042313631;2.5469484207845281;300.15821263360391
50;0.95816027462054021;3.8180144986502236;1.0625701042313631;3.4057536458880278;300.15821263360391
51;0.98063318153816781;4.0376872706339828;1.0645574842559034;1.5764590227931408;282.96379848929718
52;0.96180851693635694;3.8531873615412264;1.0645574842559034;3.1087867213805458;282.96379848929718
53;0.99722920014155847;4.2045506993382586;1.0533987984614706;0.22554310847714062;295.49891458196743
54;0.9838515537173691;4.0697371177372537;1.0533987984614706;1.3144835274061557;295.49891458196743
55;1.0311846713066088;4.5583549632756952;1.053602728456694;-2.5384322443579608;284.36410295012638
56;1.0111781091268184;4.3478688154135341;1.053602728456694;-0.90989808292301633;284.36410295012638
57;1.043434826434487;4.690121862777235;1.0435926728069014;-3.5355948717672456;295.86734286014433
58;1.0277041247047523;4.5213175987062968;1.0435926728069014;-2.255115750966834;295.86734286014433
59;1.7917706655721957;17.290110760299449;0.64308943489185122;-64.450132177576734;701.33441754905641
60;0.99841419351066518;4.2166166725356717;0.64308943489185122;0.1290846482318542;701.33441754905641
