Year;Node;SDF;DeltaConsumption;Cost;CertainEquivalence;Consumption;Utility
2015;0;1.0;-0.25395276296134028;0.05331483756791864;0.75076059491510638;0.94668516243208134;9.8388067656716824
2030;1;1.0606833687964958;0.002520439320941037;0.075525816871706189;0.73459203007662233;1.1543403124362712;11.969412778973522
2030;2;0.41256950913253443;0.0013913297399303914;0.046553004633743796;0.73300661233637809;1.1912625024736119;12.209150234808959
2060;3;0.84126574474108196;0.034819386879458847;0.092669389092520676;0.70292943397248964;1.7454513198451598;17.804071119340659
2060;4;0.2999487518707773;0.019764863809079714;0.068870950525533187;0.70114036555484072;1.8048949964075001;18.223294931988224
2060;5;0.32399946523469753;0.016426519974555021;0.070906938847406772;0.70163011581280477;1.7989694273339429;18.110868397881074
2060;6;0.11866769417192309;0.00993971432807772;0.030994775300397025;0.69993656284880168;1.8846666237510243;18.523756813701212
2100;7;0.56706781697439212;0.15710488043461091;0.094052306277704445;0.66301593614240406;3.0410276255327613;30.158723371914501
2100;8;0.16786389309409383;0.10190668113971846;0.07995215408505997;0.66106781128541314;3.1681166159470004;30.982392239391512
2100;9;0.18872083504541873;0.092860798608329631;0.088860247768820885;0.66154410107727479;3.1290890594734702;30.776406997691161
2100;10;0.073087261326308509;0.057188146680786645;0.052988122440885604;0.66008618425016108;3.3021842506036978;31.427616939552493
2100;11;0.20827281356781671;0.076103638050462052;0.092879704444397665;0.66204622336893559;3.0992158426224647;30.564268299540675
2100;12;0.076870532146613768;0.047188381891816178;0.061244422231747656;0.66050361287057135;3.2634878034595372;31.243252370556835
2100;13;0.076530176852170478;0.038494889796281129;0.038620100564158363;0.66120557971198568;3.3327294556255267;30.976039424891052
2100;14;0.025790881413149367;0.023617466504255447;0.024718232588162258;0.65931098244581821;3.4185903505069963;31.78603327688273
2200;15;0.091099846943071813;0.95152050497340213;0.022548571422513992;0.57682299444321516;14.30431795883964;106.60388356795565
2200;16;0.030224970860180684;0.55415030933367859;0.014531553884452748;0.5752711322616616;14.9901437264168;109.29643418246559
2200;17;0.024719427923636635;0.79437628404921412;0.018360219602513446;0.57572347280457015;14.753906307151329;108.49647627436278
2200;18;0.011667171618290176;0.43608275745459224;0.012635977908577956;0.57465631826456665;15.228224215987549;110.37424435361646
2200;19;0.0278621652829826;0.83984915137360616;0.01855051344385493;0.57581250339028467;14.692830988216864;108.33636295362996
2200;20;0.012655618074624023;0.47274682760054532;0.012706893585077475;0.57470460068636686;15.19470445984286;110.28589269516556
2200;21;0.011699544576496678;0.79108798797111746;0.027083779334446285;0.57592449154364789;14.522733528078476;108.11383692259385
2200;22;0.0051702660002424534;0.47191710583405211;0.020680934778089802;0.57478269734970466;15.04348775613976;110.12126213491194
2200;23;0.031583872719129512;0.91730674868095718;0.019813977555795143;0.57605765101285111;14.542169241763704;107.9005307060653
2200;24;0.013132021692274112;0.5430428349050942;0.013629479804447592;0.57484993542896345;15.104253257115332;110.02265779088653
2200;25;0.012282281883497991;0.84711752343125113;0.0267720145294775;0.57594589132506024;14.467414751727038;108.06604509190562
2200;26;0.0053031113383909777;0.51850251905296574;0.021329021297085561;0.57479255979940336;14.997238366141076;110.09431327194817
2200;27;0.014647022011559685;0.3066939582565098;0.047867792183387083;0.57772713902584361;13.734820528004972;105.02535927338369
2200;28;0.004301994799704334;0.19781257721316337;0.036190187924519487;0.57599372171390872;14.500433827037307;107.99542300088039
2200;29;0.0047251946760392995;0.16154061021449451;0.049818845699111297;0.57665942273799509;14.237885171499851;106.85249974610146
2200;30;0.0015596653613391893;0.08039391709093735;0.015962191207811414;0.57495968303682765;15.188272553953423;109.85841292678724
2300;31;0.014345630324799619;2.3321991956947841;0.020218234339210623;0.51692651841944937;64.755234985576763;290.49214043577695
2300;32;0.0060172942608465244;1.3257422228448945;0.0099387747521877262;0.51574213985785444;67.154657751003455;296.68791601603749
2300;33;0.004343300138258838;1.6321266471507556;0.013390401606105102;0.51597796264065743;66.58390401767295;295.4316169147715
2300;34;0.0025726707906935848;0.83444522698101764;0.0073807124495102903;0.515316718363662;68.18705778208853;298.96789466028434
2300;35;0.0036100872691160442;2.0643449592128604;0.014528810950228099;0.51614412926487296;66.08107190840974;294.53642534939462
2300;36;0.0019882846081116534;1.0877975267703732;0.0080222814945477474;0.5154070379847292;67.921564278479721;298.47647062257545
2300;37;0.0016262265826990686;1.411514286510851;0.010812270972687582;0.51558087799349761;67.476852359234627;297.54126134773702
2300;38;0.0010542296809076558;0.58441189692359785;0.0051838120972927931;0.5150169492840313;68.809043667529338;300.57138025060146
2300;39;0.0040695093099806685;2.0595658314007892;0.014621557418803648;0.51616596983192564;66.009843588758031;294.41827709576035
2300;40;0.0022182570266598522;1.0898026902580682;0.0080720042376297933;0.51541865131776732;67.883808655099884;298.41287348620233
2300;41;0.0017662132229702013;1.4107649888970286;0.0107881522946128;0.51559567967338871;67.43736142145201;297.46155451476193
2300;42;0.0011356858976282137;0.58848417287293842;0.0050978553872535297;0.51502343585062493;68.797871039573792;300.53688185211831
2300;43;0.0016918389637790678;2.024516729998993;0.012698152257336313;0.5159390605584675;66.284839226775091;295.58741972969062
2300;44;0.00090125059758866977;0.96975142669748493;0.005971532136607333;0.51517922045946429;68.276575926174687;299.6772681413259
2300;45;0.00069948912334730597;1.4427649978699719;0.0082538045592526876;0.51533816853175352;67.802566728552961;298.80987852298239
2300;46;0.00046605419320317734;0.47271399574952966;0.0029894110694660427;0.51483553484130706;69.125196301763069;301.53837017860246
