Year;Discount Prices;Net Expected Damages;Expected Damages;Risk Premium;Expected SDF;Cross SDF & Damages;Discounted Expected Damages;Cov Term;Scaled Net Expected Damages;Scaled Risk Premiums
2015;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020;0.89814139315149388;0.0023383852875393843;-0.23993135805864263;4.1657591395099129e-05;0.89814139315149388;-0.21548298378315828;-0.96521497078099971;9.3004043609234976e-06;0.1087760997998161;0.0019378116784943824
2025;0.80668420960215026;0.0045236234990114763;-0.25784844822159814;8.0729431899234251e-05;0.80668420960215026;-0.20798424813248934;-0.93166633464743775;1.8023518291526708e-05;0.21042816331736697;0.0037553403999962777
2030;0.73513546867024648;0.034404305093314866;0.010448479346458761;0.0018842038408433343;0.73513546867024648;0.008101711967494157;0.034404305093314866;0.0004206642062438053;1.6004061196911326;0.087648663428960008
2035;0.66114964699608336;0.03854380912335733;0.013015550359135597;0.0021448374910862768;0.66114964699608336;0.0090840793656055286;0.03854380912335733;0.00047885284020328205;1.7929659625421179;0.099772718477154951
2040;0.59463772979880347;0.042375632788290214;0.015910045075206991;0.0023897062724090238;0.59463772979880347;0.0099942349203445933;0.042375632788290214;0.00053352183582687507;1.9712132495110821;0.11116342946775079
2045;0.53481721950499705;0.045914053194412621;0.019166725654456984;0.0026192497729400467;0.53481721950499705;0.010835464256358597;0.045914053194412621;0.00058476933482681792;2.1358121174910853;0.12184124499080161
2050;0.4810149013304813;0.049174227557637222;0.022823733694771198;0.0028340971955604375;0.4810149013304813;0.011611291823172245;0.049174227557637222;0.00063273581198869562;2.2874676439728172;0.1318354340618767
2055;0.43262529469536204;0.052170632922648695;0.026922902144499439;0.0030348570710913144;0.43262529469536204;0.012325085601206933;0.052170632922648695;0.00067755712688846899;2.4268532665056064;0.14117430408167772
2060;0.39415291891192894;0.051786440556298427;0.029333169368478407;0.0038957257769314043;0.39415291891192894;0.012431507565561351;0.051786440556298427;0.0008697532380376044;2.4089815550271187;0.18121986062874992
