Node;Mitigation;Prices;Average Mitigation;Average Emission;GHG Level
0;0.63568755810231981;105.32432254548159;0.0;0.0;400.0
1;0.82373280295075169;156.90527533736039;0.63568755810231981;9.1658942465609119;394.4768452284813
2;0.61800880268837777;78.435952258714707;0.63568755810231981;19.863542260204355;394.4768452284813
3;1.024949384088659;168.94949884463222;0.76753537345581802;-1.521912429408198;392.30790227409415
4;0.95318003539393059;141.80158823155071;0.76753537345581802;2.8560178409702335;392.30790227409415
5;0.93269217905094592;134.55832545824222;0.62329210890403863;4.1057770778922977;420.53303766893612
6;0.47056936687058531;25.820987277389406;0.62329210890403863;32.295268620894298;420.53303766893612
7;1.2275024503451295;142.62385292068686;0.90578468601279605;-17.221935491126306;380.06915348038132
8;1.1945844034397146;133.56892380606413;0.90578468601279605;-14.730039340386398;380.06915348038132
9;1.220663228226871;140.71390192218425;0.86723953031083834;-16.704206376774138;391.48551126253545
10;1.0976564759448439;108.89970932640426;0.86723953031083834;-7.3925952290246872;391.48551126253545
11;1.2772904616375753;156.98500189273992;0.78946156835860326;-20.990887945964452;412.92020750372905
12;0.9956392255767067;86.05999434074424;0.78946156835860326;0.33011062384330292;412.92020750372905
13;0.6391202169563488;29.529214721310247;0.54126932371828185;27.318599576404399;503.36206216128272
14;0.41866013598386193;10.63979490636634;0.54126932371828185;44.007427706021652;503.36206216128272
15;1.0391751652317671;21.051072010889534;1.0958545511358326;-3.1888584498658439;290.77632590654281
16;1.0149048526967357;19.884220019885117;1.0958545511358326;-1.2132550095142856;290.77632590654281
17;1.0536792097854135;21.767053104663944;1.0764066703251141;-4.3694876765326613;304.2678483694886
18;1.0296881648856191;20.590322354717376;1.0764066703251141;-2.416616621689395;304.2678483694886
19;1.0566287463797699;21.914372767741494;1.0760411634242442;-4.6095799553132695;303.1561240720502
20;1.0327936162887192;20.740485810039804;1.0760411634242442;-2.6694003659017467;303.1561240720502
21;1.1679804808275818;27.907845334223079;1.0033691527132775;-13.673611139365157;352.81117898152559
22;1.1377166412602506;26.194767592999536;1.0033691527132775;-11.210134598584403;352.81117898152559
23;1.062530842771291;22.210911933497613;1.0776693772779553;-5.0900106015830842;300.12914458702528
24;1.0382371408844351;21.005249395481197;1.0776693772779553;-3.1125032679930165;300.12914458702528
25;1.3196367758740302;37.468019051132245;0.9112706937581796;-26.018433556146061;412.1339468165275
26;1.2951849160311835;35.814659044276304;0.9112706937581796;-24.028052164938337;412.1339468165275
27;1.2547277769760892;33.174486900464011;0.59907933031995586;-20.73484104585366;617.73746772730385
28;0.90640501537199247;15.136412360381261;0.59907933031995586;7.618631748719813;617.73746772730385
29;0.73113918649380649;9.012315534387179;0.4688321929185883;21.885270219404152;712.48370254373708
30;0.48467991482291783;3.3420058918446354;0.4688321929185883;41.947054933414492;712.48370254373708
31;0.95716415797069765;3.8084437066434584;1.07480471988941;0.0;287.0758814100455
32;0.93811543930542063;3.6281205013600122;1.07480471988941;5.0374032405387617;287.0758814100455
33;0.96398198940116486;3.8742317350180775;1.0657911080619094;2.9318660627451809;296.23750870439056
34;0.95026478543266057;3.7425395325890509;1.0657911080619094;4.0484464657814296;296.23750870439056
35;0.96072004140770828;3.8426735502447609;1.0679660494293588;3.1973886294125462;292.92551071495387
36;0.9460657587773833;3.7027589988017899;1.0679660494293588;4.3902472355209996;292.92551071495387
37;0.97200542337861617;3.9524996043854705;1.0590561532032285;2.2787585369806438;302.10518118175054
38;0.96108426692758664;3.8461898075623537;1.0590561532032285;3.1677406720944483;302.10518118175054
39;0.96009330226931044;3.8366273770117396;1.0688316974719667;3.2484051952781305;292.30551741750213
40;0.9451762623389639;3.6943640680836385;1.0688316974719667;4.4626522456083393;292.30551741750213
41;0.97088291487312139;3.9414944615564536;1.0599797055502058;2.370130729327919;301.44699215377477
42;0.95983529371224952;3.8341399797409146;1.0599797055502058;3.2694070918228899;301.44699215377477
43;0.9654878504348049;3.8888514207137148;1.0645032074103502;2.8092889746068819;290.77267532589741
44;0.95236511860069728;3.7625310206904743;1.0645032074103502;3.8774793459032417;290.77267532589741
45;0.98629018846223759;4.0941208948320265;1.0532636940387801;1.1159786591738599;302.97543297532451
46;0.91295510891768783;3.3977525658676813;1.0532636940387801;7.0854541341002113;302.97543297532451
47;0.9583717967274451;3.8200486357920553;1.0720471639882279;3.3885357463859691;290.76059236859413
48;0.9429912137485662;3.6737892677789685;1.0720471639882279;4.6405152008667114;290.76059236859413
49;0.96910683071931136;3.9241183176610739;1.063024865723833;2.5147039794480555;300.11625017828925
50;0.95757854966020428;3.8124235162617715;1.063024865723833;3.453106057659372;300.11625017828925
51;0.98876006342976186;4.118904026790565;1.0629314250485813;0.91493083681738474;283.9493641841982
52;0.96960170567361215;3.9289553601307077;1.0629314250485813;2.4744211581679716;283.9493641841982
53;0.99892950154305626;4.2218700179151671;1.053850389410258;0.087138574395220117;294.18256466006261
54;0.9840558987894289;4.0717770793604222;1.053850389410258;1.297849838540488;294.18256466006261
55;1.4587441194872712;10.527103751941734;0.84257683719927545;-37.341771326263881;496.30758783010185
56;1.4376460676841574;10.163458550876733;0.84257683719927545;-35.624389909490418;496.30758783010185
57;1.6764553045586326;14.726011552674661;0.71321524948792636;-55.063461791072697;633.14017833510206
58;1.5601701408408015;12.380872035219129;0.71321524948792636;-45.597849464441254;633.14017833510206
59;1.4981169734881998;11.22584713563309;0.56624887909900057;-40.546721641939477;780.84508023798469
60;1.138199277241861;5.7847162625017923;0.56624887909900057;-11.249421167487487;780.84508023798469
