Node;Mitigation;Prices;Average Mitigation;Average Emission;GHG Level
0;0.63993005345303122;107.02847504174328;0.0;0.0;400.0
1;0.85613435219188794;172.2141043956951;0.63993005345303122;7.4810136860218259;394.1935816014572
2;0.55417687814500927;60.293243830680751;0.63993005345303122;23.182802336459517;394.1935816014572
3;1.0744061545566521;189.29604118859459;0.79152157325843653;-4.5387754279557786;387.79732652812072
4;0.95141474736709908;141.16872395541151;0.79152157325843653;2.9637004106069562;387.79732652812072
5;0.7989252937952388;92.614580094266145;0.57980426386924566;12.265557078490433;429.28274004952476
6;0.46761499041890148;25.431544754329515;0.57980426386924566;32.475485584447;429.28274004952476
7;1.1216432802470631;114.73098555851021;0.94345036222101142;-9.2083963147026733;368.7695909248107
8;1.0965789652059312;108.64193601878634;0.94345036222101142;-7.3110276660889948;368.7695909248107
9;1.1392969090239655;119.13684010656915;0.87739538155943508;-10.544776013114191;388.84420020286518
10;0.97900509059559859;82.631431335603764;0.87739538155943508;1.5893146419131865;388.84420020286518
11;1.1033657928892633;110.27152542527557;0.69748756976068005;-7.8247905217172313;443.42775486106819
12;0.75497230982878727;44.13963629963466;0.69748756976068005;18.548596145960808;443.42775486106819
13;0.60145697501672213;25.503618790361955;0.51955078391045839;30.16970699123414;509.67217107155369
14;0.43128275366693902;11.430418160320778;0.51955078391045839;43.05189554741272;509.67217107155369
15;1.0426465081931029;21.22115642613749;1.0487261898253126;-3.4714257669185762;324.19629682647644
16;1.0111629913998155;19.707780410614387;1.0487261898253126;-0.90866749994497931;324.19629682647644
17;1.0346751352052708;20.83177724745692;1.0339182696311762;-2.8225560057090413;334.14637062116788
18;1.015666706911144;19.920256529166828;1.0339182696311762;-1.2752699425671237;334.14637062116788
19;1.0406612896450775;21.12378912069363;1.0321259980176496;-3.3098289771093117;333.52695704390561
20;1.022337745546444;20.23743736118157;1.0321259980176496;-1.8182924874805391;333.52695704390561
21;1.1702659815765288;28.039801461565602;0.93742608496735869;-13.859650900329449;395.20840383191347
22;1.1523481050009583;27.015044651166516;0.93742608496735869;-12.401135747078007;395.20840383191347
23;1.2004468855682335;29.816645194234198;0.93727917494769342;-16.316376485254214;394.1021061267528
24;1.1910847801249016;29.25862523357744;0.93727917494769342;-15.554301102166994;394.1021061267528
25;1.4345397055316453;45.830192374544659;0.73144937729111947;-35.371532030275937;530.79914472989344
26;0.84361098618791575;12.728740549242707;0.73144937729111947;12.73006572430366;530.79914472989344
27;0.98038157700436002;18.291137627435283;0.56794070956040676;1.5969396318450948;639.43903794128323
28;0.79012306294261614;10.867800194149577;0.56794070956040676;17.083982676471049;639.43903794128323
29;0.79893143786921528;11.162454222583577;0.46740230327595073;16.366980957445879;712.71285285686895
30;0.48472636229564531;3.3427787521492971;0.46740230327595073;41.943274109134485;712.71285285686895
31;0.95884496425825116;3.8246012263818474;1.0464682918197379;0.0;312.95100754729134
32;0.94228418817763959;3.6671461959267209;1.0464682918197379;4.6980670823401374;312.95100754729134
33;0.96881243147368368;3.9212424345018655;1.034775809535891;2.5386680780421491;324.82790756025827
34;0.95433727581608174;3.7813592969269929;1.034775809535891;3.716945748570947;324.82790756025827
35;0.9717761329980894;3.9502501669361645;1.0341993575850554;2.2974227739555229;324.6901143367316
36;0.95741107479341769;3.8108147978623634;1.0341993575850554;3.4667385118158003;324.6901143367316
37;0.97466503790819792;3.9786463848654079;1.0271399266919909;2.0622659142726896;331.85252901881381
38;0.95663308120071455;3.8033468141012508;1.0271399266919909;3.5300671902618359;331.85252901881381
39;0.97199521705488956;3.9523994600044894;1.0352958709005433;2.27958933173199;323.98180078286981
40;0.95774776809865858;3.8140493867754657;1.0352958709005433;3.4393316767691924;323.98180078286981
41;0.97419908850184322;3.9740583222083492;1.0284907952110243;2.1001941959499617;330.93202643953765
42;0.9564066797334364;3.8011751908965312;1.0284907952110243;3.5484962696982776;330.93202643953765
43;0.99422085856222087;4.1740097268716063;1.0238991554299304;0.47042211303522158;328.31626812775619
44;0.97515192903633485;3.9834439667485362;1.0238991554299304;2.0226329764423432;328.31626812775619
45;0.99783469950463233;4.2107135535771922;1.017244738269371;0.17625546032292858;335.56009127244135
46;0.96681667671184879;3.9017791496862744;1.017244738269371;2.7011225156555092;335.56009127244135
47;0.98135675442930592;4.0448799726026312;1.0350155178827787;1.5175601894544983;319.12811575650619
48;0.97066628839731317;3.9393727103666683;1.0350155178827787;2.387764124458708;319.12811575650619
49;0.98866473769171492;4.1179458874496255;1.0315385793706553;0.9226903518944054;322.95038154987026
50;0.98957547485684272;4.1271052354632571;1.0315385793706553;0.84855634665300284;322.95038154987026
51;1.0687431240760408;4.969339231185133;0.99256605179964574;-5.5956902997897195;341.96309939199432
52;1.0602537276514812;4.8746243940969212;0.99256605179964574;-4.9046534308305691;341.96309939199432
53;1.5450893639120775;12.094066008239192;0.77310443233354686;-44.370274222443122;579.57960599789942
54;1.5146561350428871;11.527233466562388;0.77310443233354686;-41.893009392491017;579.57960599789942
55;1.6567256283951199;14.311296044903589;0.72111475194537711;-53.457466151362773;623.3700848067698
56;1.6413642089309932;13.993194059663807;0.72111475194537711;-52.207046606982857;623.3700848067698
57;1.7681329265382661;16.74483115643023;0.6504557363206579;-62.526020220214875;698.77573812140088
58;0.99031988008957961;4.1346006236955173;0.6504557363206579;0.7879617607082201;698.77573812140088
59;1.8502599651671978;18.683572478138547;0.59052700240858935;-69.211161164609905;754.2204581782172
60;1.0074289169401534;4.3090711812449625;0.59052700240858935;-0.60471383892848296;754.2204581782172
