Year;Discount Prices;Net Expected Damages;Expected Damages;Risk Premium;Expected SDF;Cross SDF & Damages;Discounted Expected Damages;Cov Term;Scaled Net Expected Damages;Scaled Risk Premiums
2015;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020;0.86007419765356752;0.013940117307915157;-0.037127193911656864;1.0465367648108329e-06;0.86007419765356752;-0.03193210489645977;-0.91260975086223695;3.6618236921859282e-08;0.10260920467995045;7.7032569191218657e-06
2025;0.73972768025389246;0.025812824339143208;-0.039386504778204934;3.8744923360110725e-06;0.73972768025389246;-0.029135152244716307;-0.83267662270580478;1.3556817407903154e-07;0.19000079536481848;2.8519026659189368e-05
2030;0.63659661853123017;0.03462451316497174;0.0019031029782512476;2.6469900388018233e-05;0.63659661853123017;0.0012124351003493226;0.03462451316497174;9.2617967786508618e-07;0.25486110911498272;0.00019483734367356395
2035;0.54946003004147914;0.059825212968579199;0.0038097027228400915;7.1091338884399561e-05;0.54946003004147914;0.0020957668527497291;0.059825212968579199;2.4874802089075963e-06;0.44035623136607899;0.00052328295246261726
2040;0.4742522392156821;0.081165446834734506;0.0059883163389617966;0.00014358832828892675;0.4742522392156821;0.0028449965769005345;0.081165446834734506;5.024144016047092e-06;0.5974355712542041;0.0010569124951828616
2045;0.40933999766601048;0.099074644674352549;0.0084687883895706584;0.00023687611538841433;0.40933999766601048;0.0034749020957770419;0.099074644674352549;8.2882761562519044e-06;0.72926003916852233;0.0017435771357448104
2050;0.35331370591996447;0.11394008053536042;0.011283893473773565;0.00034497696981560579;0.35331370591996447;0.0039988249367515476;0.11394008053536042;1.2070716326507969e-05;0.83868024828345955;0.0025392765156703385
2055;0.30495678392195541;0.12611074299065317;0.014469606678502167;0.00046287883051053687;0.30495678392195541;0.0044288008102065807;0.12611074299065317;1.6196092914912315e-05;0.92826500337419637;0.0034071182912430655
2060;0.26310440219095577;0.13583981144086249;0.018065163476671531;0.0006499897316598035;0.26310440219095577;0.0047757671252536514;0.13583981144086249;2.2743088242099807e-05;0.99987788538243816;0.0047843879604856452
2065;0.22774233613525091;0.12894363990255184;0.019810666862052351;0.00069940636867656656;0.22774233613525091;0.0045361997239432936;0.12894363990255184;2.4472172382290942e-05;0.94911714490568566;0.0051481296500458032
2070;0.19713602961497195;0.12233278813156097;0.021712998836881381;0.00075170487360381479;0.19713602961497195;0.0043067164745853384;0.12233278813156097;2.6302092848038902e-05;0.90045656139013242;0.0055330839426103598
2075;0.17064549873955381;0.11600232650218703;0.023785637888579236;0.00080513645051434081;0.17064549873955381;0.0040870836997460493;0.11600232650218703;2.8171659411017555e-05;0.85385984927507852;0.0059263784530139193
2080;0.1477169342112703;0.10994651587049274;0.026043186826968379;0.00085827526905507101;0.1477169342112703;0.0038770506975533787;0.10994651587049274;3.0030982382269183e-05;0.80928476436831664;0.006317518053037271
2085;0.1278710909935756;0.10415895340622347;0.028501464587604719;0.00090997419065291069;0.1278710909935756;0.0036763532952074967;0.10415895340622347;3.1839923475720892e-05;0.76668417727304061;0.0066980589847088715
2090;0.11069324314166729;0.098632701296404654;0.031177605412502363;0.00095932573591278288;0.11069324314166729;0.0034847169865616788;0.098632701296404654;3.3566730060592773e-05;0.72600702073810663;0.0070613215525185975
2095;0.095824492680996742;0.093360400056748685;0.034090165993289068;0.0010056277254572737;0.095824492680996742;0.003301859694655043;0.093360400056748685;3.518683293715066e-05;0.68719912371079506;0.0074021372154945454
2100;0.082973537943436801;0.088321145675816864;0.037245004061609022;0.0010893757822588886;0.082973537943436801;0.0031284669283936761;0.088321145675816864;3.8117170684302034e-05;0.65010661775937262;0.0080185826378745811
2105;0.071832287300861747;0.08136345559445976;0.039632606038000895;0.0011040750828257163;0.071832287300861747;0.002885532241428122;0.08136345559445976;3.8631498024573746e-05;0.59889305693429484;0.0081267799727461707
2110;0.062188453956797604;0.074946389869985239;0.04216808691732965;0.0011178465594129927;0.062188453956797604;0.0026614814925832913;0.074946389869985239;3.9113360878697059e-05;0.55165887691821747;0.0082281478614573116
2115;0.0538405943754936;0.069028383224047238;0.044860157747028673;0.0011302990271169256;0.0538405943754936;0.0024548466285968934;0.069028383224047238;3.9549071718465636e-05;0.50809812762053619;0.0083198069041454121
2120;0.046614388959112754;0.063571038959273699;0.04771800234332213;0.0011411325910995903;0.046614388959112754;0.0022642736588311804;0.063571038959273699;3.9928137247708696e-05;0.46792818196626607;0.0083995496609355156
2125;0.040358986699832677;0.058538889142924044;0.050751299108425796;0.0011501254490673494;0.040358986699832677;0.0020885138023382628;0.058538889142924044;4.0242796622076259e-05;0.43088797067673718;0.0084657435087697498
2130;0.034943842857302718;0.053899172826451687;0.053970243456991085;0.0011571222683602264;0.034943842857302718;0.0019264153210958013;0.053899172826451687;4.0487614764334566e-05;0.39673634980741329;0.008517245088496328
2135;0.03025598310921724;0.049621630952558088;0.057385570820472909;0.001162023968545135;0.03025598310921724;0.0017769159863151459;0.049621630952558088;4.0659124858127924e-05;0.36525059111754976;0.0085533250974692415
2140;0.026197636613547289;0.045678316700757587;0.061008580189003681;0.0011647787574925004;0.026197636613547289;0.0016390361288010019;0.045678316700757587;4.0755514701023296e-05;0.33622498607829937;0.0085736023086796353
2145;0.022684188196237787;0.042043420117355804;0.064851158143186538;0.0011653742841744245;0.022684188196237787;0.0015118722281955736;0.042043420117355804;4.0776352131551528e-05;0.30946955502429008;0.0085779858097541368
2150;0.019642406602374131;0.038693105959383987;0.068925803315672551;0.0011638307853424918;0.019642406602374131;0.0013945909993537244;0.038693105959383987;4.0722345232016999e-05;0.28480885356934088;0.0085666245576160992
2155;0.017008911564140337;0.035605363763062614;0.073245651211961693;0.0011601951157821245;0.017008911564140337;0.0012864239373697043;0.035605363763062614;4.0595133447579416e-05;0.26208086900343164;0.0085398634369003804
2160;0.014728847468270991;0.0327598692209451;0.077824499307066475;0.0011545355631333602;0.014728847468270991;0.0011866622857455949;0.0327598692209451;4.0397106157251351e-05;0.24113599992962292;0.0084982050933364948
2165;0.012754735755439776;0.030137856019572262;0.082676832319128479;0.0011469373585148782;0.012754735755439776;0.0010946523949182823;0.030137856019572262;4.0131245590995348e-05;0.22183611289779456;0.0084422768887398737
2170;0.011045481946040096;0.027721997353134735;0.087817847545357264;0.0011374988033609724;0.011045481946040096;0.0010097914409104075;0.027721997353134735;3.9800991308062213e-05;0.20405367026070359;0.0083728023917698791
2175;0.0095655164405703662;0.025496296387185566;0.093263480127825371;0.0011263279412305951;0.0095655164405703662;0.00093152347621137943;0.025496296387185566;3.9410123743858182e-05;0.18767092390879381;0.0082905768800708816
2180;0.0082840510570566812;0.023445985000222946;0.0990304280952925;0.0011135397108210225;0.0082840510570566812;0.00085933578713770628;0.023445985000222946;3.8962664594122814e-05;0.17257916993603298;0.0081964463844225299
2185;0.0071744357020493213;0.0215574301816151;0.10513617700602662;0.0010992535231869878;0.0071744357020493213;0.00079275553393103645;0.0215574301816151;3.8462792042022096e-05;0.15867805966188844;0.008091289855344793
2190;0.0062136016770985344;0.019818047510288823;0.11159902398991672;0.0010835912122084122;0.0062136016770985344;0.00073134665167148589;0.019818047510288823;3.7914769045179755e-05;0.14587496277277273;0.0079760040770788382
