Year;Node;Cost;CertainEquivalence;Consumption;Utility;SDF;DeltaConsumption;MU_2;MU_1;MU_0;Cost;CertainEquivalence;Consumption;Utility;SDF;DeltaConsumption;MU_2;MU_1;MU_0;Cost;CertainEquivalence;Consumption;Utility;SDF;DeltaConsumption;MU_2;MU_1;MU_0;Cost;CertainEquivalence;Consumption;Utility;Cost;CertainEquivalence;Consumption;Utility;SDF;DeltaConsumption;MU_2;MU_1;MU_0
2015;0;0.044377011191640045;0.75077245774940027;0.95562298880835994;9.8404193180370338;1.0;-0.22325833178193921;0.13916130930930951;0.1574534660553584;0.33025493969373598;0.029356756386397495;0.75017882074435061;0.97064324361360255;9.9134178893693097;1.0;-0.16707401388149634;0.13799196365214841;0.15594194629388158;0.32725792211078542;0.039076683896804729;0.75092047727778832;0.96092331610319526;9.8252764587399835;1.0;-0.2041924493336178;0.13899896731322253;0.15530011860433918;0.32767034254312971;0.042495143268366994;0.75086227197395139;0.95750485673163299;9.8307903633904772;0.044377011191640045;0.7508294071649303;0.95562298880835994;9.8339192064653176;1.0;-0.22325833178193921;0.13948175445031333;0.15691618502037402;0.33001255896986864
2030;1;0.077602310778730657;0.73491147217654273;1.1516642942608974;11.923278841767438;0.80025165052167924;0.013538178413785573;0.13834209995712068;0.16056446329588936;0.33224037892384434;0.057185576135046025;0.73440882629726656;1.1770090899945542;12.002931754868717;0.79432399071591842;-0.016138248471397887;0.13756481356536426;0.15646679753510731;0.32670892078632269;0.06438958490815376;0.73505013289944865;1.1681088437671081;11.909111762316021;0.78791362723879677;0.0038795623520604394;0.13551838599215416;0.15837833031519039;0.32661576816613108;0.060390192284947866;0.73502611531362083;1.1731358632958793;11.914140882669795;0.077602310778730657;0.73493190096582905;1.1516642942608974;11.920392006924628;0.79810668524183392;0.01712874104611295;0.13828139421599012;0.16054472727232713;0.33215100099230865
2030;2;0.032126500673759911;0.73316286919427676;1.2092419998075103;12.192347811672592;0.67012784162551731;0.0035601620505421039;0.13553653111659678;0.15448686300036166;0.32261119814236233;0.01953495294303597;0.73265634662902113;1.2248899325842062;12.271025447132445;0.67260865598247344;-0.017825093686352211;0.13333946591332868;0.15465936095156071;0.32031632460737119;0.02779292038065265;0.7334674290565516;1.2146267938967694;12.150038082194913;0.67543571270976721;0.0017573240261414824;0.1328744191909943;0.15461988814295019;0.31978489856987863;0.031195048450796667;0.73332217841382685;1.2103952922498158;12.169662557523969;0.032126500673759911;0.73327047907330845;1.2092419998075103;12.176768441412497;0.67216425209865893;0.0037682176468045725;0.1353082392538125;0.15430335979881907;0.32215319480627547
2060;3;0.097697356545566341;0.70365884375608456;1.7347251803372516;17.640448749198207;0.46889482565935531;0.051653302603105189;0.13177875329240266;0.16170773238063574;0.32568361594313244;0.081616806715605894;0.7032537854470492;1.7612861252028151;17.737788511508711;0.46440192023629817;0.0020320437841059302;0.13392159490383587;0.15671436294705432;0.32219501280041024;0.097898041670642741;0.7040609438742591;1.7321918113005537;17.552051184169208;0.47123746210604478;0.036591293387933099;0.13046068524622045;0.16198792501980119;0.32439710207094224;0.10248341350363603;0.70405827313107006;1.7234344951113831;17.549782535865202;0.097697356545566341;0.70368497765254001;1.7347251803372516;17.634742124497581;0.46770635709880115;0.055722268557323318;0.13167696544206559;0.16170401863375541;0.32556655412127083
2060;4;0.072624757249338659;0.70142771846057006;1.7970289055411632;18.155820243794814;0.38903334024863256;0.02410362539064792;0.13627682271621344;0.15468123122331609;0.32334388359455407;0.05558803723448625;0.70136461710458553;1.8275228833687727;18.179835495713341;0.39254205818834675;0.026219935758087232;0.13319953852787197;0.15296733997879197;0.31782113691938463;0.059822890862389295;0.70176067156202326;1.8205850452555901;18.088439948670022;0.38212334062553921;0.024993912183446376;0.13303277262128491;0.15267617350817059;0.31738480297033306;0.057647283047891393;0.70182629590942835;1.8248259164225213;18.075052339786239;0.072600556575939348;0.70144876170914627;1.7970758005925163;18.151090811596934;0.3879134459511967;0.025469501353359014;0.13625357646741257;0.15461192806448468;0.32324092548327676
2060;5;0.074391505432026661;0.70230678031049354;1.7905936583974831;17.956728038457609;0.39692858852815938;0.025036865172611833;0.13392220799757559;0.15484619706299332;0.32068233780952315;0.037281344966431137;0.70212151551069435;1.860495750708981;18.020063739931345;0.39043684804533718;-0.019854606336044966;0.12635489691499732;0.15164173698641603;0.30852791210880431;0.060089099505844137;0.70291499546468805;1.8176074809279279;17.830332553866494;0.39923209795468712;0.015097481955361758;0.13129780682414557;0.15055362771364361;0.31292538489981792;0.070733432933446222;0.70252481563454161;1.7974857959959905;17.910431393820122;0.074391505432026661;0.7024357381378884;1.7905936583974831;17.928027496050227;0.39822723005452643;0.028085465241001195;0.13404292386252409;0.15421271144804702;0.3201128861701637
2060;6;0.010881830146702742;0.70043373570599954;1.9227645031156992;18.421247779704125;0.3220341914524209;0.0083191256004866432;0.12187187947769317;0.15233731228619357;0.30481314452937897;0.014753186588123303;0.69986320796739898;1.9140574510820816;18.549829512964671;0.32648239205995389;0.0026054055962010381;0.12686112233644786;0.15089122918310291;0.30873108805055433;0.0093101859449156842;0.70067457906690001;1.9254053952899837;18.366947839787898;0.32210777752603581;0.0077607418767611236;0.1192069066724999;0.15369430165774803;0.30335200440043592;0.0091041743198571629;0.70062498296144926;1.9261026066163482;18.378491910941936;0.01043353961796724;0.70055555070107933;1.9236359430932537;18.393620374871013;0.32276464254319132;0.0080554423222300997;0.12065855196655152;0.15295501741685769;0.30415207818565904
2100;7;0.071723002041688771;0.66456925040963555;3.1143506495693662;29.572467342095276;0.2203224804445805;0.19875689667068208;0.1187372475248176;0.15269063546424561;0.30180780937574841;0.10070463061082281;0.6638199012245527;2.9817618815363387;29.823216390320816;0.22787508950896201;0.27963976767511056;0.1328812161867694;0.15421433848851793;0.31974132638418679;0.074108497387712843;0.66506210305776092;3.0905785191302169;29.374890843578449;0.22410626130236388;0.15398857274591116;0.11791454753989908;0.15381638562005551;0.30212952686061639;0.073758810065937014;0.66491790077349278;3.0924338704826027;29.431011517010589;0.071734955995880673;0.66460668279414881;3.1143105442935877;29.557944453088808;0.21984116326717121;0.19974589833706702;0.11897005846809265;0.15231388341268695;0.30164744519914988
2100;8;0.069480563058033407;0.66161667251756273;3.2031855660454198;30.769945268536805;0.17464356493937283;0.11411616123533364;0.12741769448837081;0.1472611642963943;0.30571259529210471;0.088467189629114859;0.66172813520770357;3.1147552082946448;30.697413682458546;0.18629399078042094;0.20554874478770913;0.13413136433224412;0.14834607740614184;0.31454558948715305;0.075237378188229787;0.66193468630850361;3.1732678259810068;30.63222161777276;0.17594469254140932;0.10908867128347488;0.12795953857613973;0.14819151367581454;0.30738086123816127;0.071202835223167657;0.66190104997005372;3.1875557246578641;30.650171487315887;0.069492143268626655;0.66164182391790394;3.2031457027583659;30.759742506320809;0.17413135084844922;0.12591188685995292;0.12762884374486408;0.14695298966540346;0.30560419113554049
2100;9;0.07598091868373999;0.66214086930812566;3.1723282883073844;30.548919865757924;0.17982473858356934;0.10807040112905675;0.12707114835528868;0.1484110135507451;0.30655307499180051;0.096444621630938671;0.66234750140292109;3.0796176562277142;30.437187237496627;0.1920741693032986;0.16483099025035308;0.13379753826066176;0.14966507126703979;0.31553685947453169;0.08525438569697083;0.66281213376219894;3.1267408443164402;30.266437178311914;0.18303079032685129;0.14539991102164862;0.12749166378123608;0.14960931922718684;0.30832414940767111;0.084208334611471716;0.66297393053632936;3.1287091636949436;30.202742287236855;0.076006248641144636;0.66216491325960536;3.1722323384330475;30.53922622841538;0.17929498832384774;0.10406121890351727;0.1272061392902851;0.14818845992602372;0.30645529360642276
